DATA_ELEMENT,QUERY,NEEDLE_TEXT
"Directive for Comfort Care or Palliative Care, Severe Sepsis","Is there physician/APN/PA documentation of comfort measures only, palliative care, or another acceptable inclusion term within an acceptable context? Note: Acceptable contexts include comfort measures only recommendation, order for hospice consultation, patient request for comfort measures only, plan for comfort measures only, or referral to hospice. Also accept SAPOs with CMO option checked if dated and signed prior to arrival, unless contradicted by documentation on day of arrival. Do NOT accept documentation that is only discussion/consideration, negative/conditional statements, or dated prior to arrival.",DNR-Comfort Care form signed prior to arrival with brain death option selected.
"Directive for Comfort Care or Palliative Care, Severe Sepsis","Is there physician/APN/PA documentation of comfort measures only, palliative care, or another acceptable inclusion term within an acceptable context? Note: Acceptable contexts include comfort measures only recommendation, order for hospice consultation, patient request for comfort measures only, plan for comfort measures only, or referral to hospice. Also accept SAPOs with CMO option checked if dated and signed prior to arrival, unless contradicted by documentation on day of arrival. Do NOT accept documentation that is only discussion/consideration, negative/conditional statements, or dated prior to arrival.","After discussion with family, physician documents order for consultation or evaluation by a hospice care service: organ harvest."
"Directive for Comfort Care or Palliative Care, Severe Sepsis","Is there physician/APN/PA documentation of comfort measures only, palliative care, or another acceptable inclusion term within an acceptable context? Note: Acceptable contexts include comfort measures only recommendation, order for hospice consultation, patient request for comfort measures only, plan for comfort measures only, or referral to hospice. Also accept SAPOs with CMO option checked if dated and signed prior to arrival, unless contradicted by documentation on day of arrival. Do NOT accept documentation that is only discussion/consideration, negative/conditional statements, or dated prior to arrival.",POLST (Physician Orders for Life-Sustaining Treatment) signed prior to arrival with comfort measures only option selected.
"Directive for Comfort Care or Palliative Care, Severe Sepsis","Is there physician/APN/PA documentation of comfort measures only, palliative care, or another acceptable inclusion term within an acceptable context? Note: Acceptable contexts include comfort measures only recommendation, order for hospice consultation, patient request for comfort measures only, plan for comfort measures only, or referral to hospice. Also accept SAPOs with CMO option checked if dated and signed prior to arrival, unless contradicted by documentation on day of arrival. Do NOT accept documentation that is only discussion/consideration, negative/conditional statements, or dated prior to arrival.","After discussion with family, MD documents patient or patient representative request for comfort measures only: end of life care."
"Directive for Comfort Care or Palliative Care, Severe Sepsis","Is there physician/APN/PA documentation of comfort measures only, palliative care, or another acceptable inclusion term within an acceptable context? Note: Acceptable contexts include comfort measures only recommendation, order for hospice consultation, patient request for comfort measures only, plan for comfort measures only, or referral to hospice. Also accept SAPOs with CMO option checked if dated and signed prior to arrival, unless contradicted by documentation on day of arrival. Do NOT accept documentation that is only discussion/consideration, negative/conditional statements, or dated prior to arrival.",DNR-Comfort Care form dated prior to arrival with comfort only option checked.
"Directive for Comfort Care or Palliative Care, Severe Sepsis","Is there physician/APN/PA documentation of comfort measures only, palliative care, or another acceptable inclusion term within an acceptable context? Note: Acceptable contexts include comfort measures only recommendation, order for hospice consultation, patient request for comfort measures only, plan for comfort measures only, or referral to hospice. Also accept SAPOs with CMO option checked if dated and signed prior to arrival, unless contradicted by documentation on day of arrival. Do NOT accept documentation that is only discussion/consideration, negative/conditional statements, or dated prior to arrival.","After discussion with family, nurse practitioner documents plan for comfort measures only: withhold care."
"Directive for Comfort Care or Palliative Care, Severe Sepsis","Is there physician/APN/PA documentation of comfort measures only, palliative care, or another acceptable inclusion term within an acceptable context? Note: Acceptable contexts include comfort measures only recommendation, order for hospice consultation, patient request for comfort measures only, plan for comfort measures only, or referral to hospice. Also accept SAPOs with CMO option checked if dated and signed prior to arrival, unless contradicted by documentation on day of arrival. Do NOT accept documentation that is only discussion/consideration, negative/conditional statements, or dated prior to arrival.",PA documents patient or patient representative request for comfort measures only: comfort measures.
"Directive for Comfort Care or Palliative Care, Severe Sepsis","Is there physician/APN/PA documentation of comfort measures only, palliative care, or another acceptable inclusion term within an acceptable context? Note: Acceptable contexts include comfort measures only recommendation, order for hospice consultation, patient request for comfort measures only, plan for comfort measures only, or referral to hospice. Also accept SAPOs with CMO option checked if dated and signed prior to arrival, unless contradicted by documentation on day of arrival. Do NOT accept documentation that is only discussion/consideration, negative/conditional statements, or dated prior to arrival.",POLST (Physician Orders for Life-Sustaining Treatment) signed prior to arrival with withhold care option selected.
"Directive for Comfort Care or Palliative Care, Severe Sepsis","Is there physician/APN/PA documentation of comfort measures only, palliative care, or another acceptable inclusion term within an acceptable context? Note: Acceptable contexts include comfort measures only recommendation, order for hospice consultation, patient request for comfort measures only, plan for comfort measures only, or referral to hospice. Also accept SAPOs with CMO option checked if dated and signed prior to arrival, unless contradicted by documentation on day of arrival. Do NOT accept documentation that is only discussion/consideration, negative/conditional statements, or dated prior to arrival.",APN orders order for consultation or evaluation by a hospice care service: Comfort only.
"Directive for Comfort Care or Palliative Care, Severe Sepsis","Is there physician/APN/PA documentation of comfort measures only, palliative care, or another acceptable inclusion term within an acceptable context? Note: Acceptable contexts include comfort measures only recommendation, order for hospice consultation, patient request for comfort measures only, plan for comfort measures only, or referral to hospice. Also accept SAPOs with CMO option checked if dated and signed prior to arrival, unless contradicted by documentation on day of arrival. Do NOT accept documentation that is only discussion/consideration, negative/conditional statements, or dated prior to arrival.","After discussion with family, physician documents patient or patient representative request for comfort measures only: hospice care."
"Directive for Comfort Care or Palliative Care, Severe Sepsis","Is there physician/APN/PA documentation of comfort measures only, palliative care, or another acceptable inclusion term within an acceptable context? Note: Acceptable contexts include comfort measures only recommendation, order for hospice consultation, patient request for comfort measures only, plan for comfort measures only, or referral to hospice. Also accept SAPOs with CMO option checked if dated and signed prior to arrival, unless contradicted by documentation on day of arrival. Do NOT accept documentation that is only discussion/consideration, negative/conditional statements, or dated prior to arrival.",physician assistant documents plan for comfort measures only: comfort care.
"Directive for Comfort Care or Palliative Care, Severe Sepsis","Is there physician/APN/PA documentation of comfort measures only, palliative care, or another acceptable inclusion term within an acceptable context? Note: Acceptable contexts include comfort measures only recommendation, order for hospice consultation, patient request for comfort measures only, plan for comfort measures only, or referral to hospice. Also accept SAPOs with CMO option checked if dated and signed prior to arrival, unless contradicted by documentation on day of arrival. Do NOT accept documentation that is only discussion/consideration, negative/conditional statements, or dated prior to arrival.","Per nurse practitioner physician order, referral to hospice care service: terminal care."
"Directive for Comfort Care or Palliative Care, Severe Sepsis","Is there physician/APN/PA documentation of comfort measures only, palliative care, or another acceptable inclusion term within an acceptable context? Note: Acceptable contexts include comfort measures only recommendation, order for hospice consultation, patient request for comfort measures only, plan for comfort measures only, or referral to hospice. Also accept SAPOs with CMO option checked if dated and signed prior to arrival, unless contradicted by documentation on day of arrival. Do NOT accept documentation that is only discussion/consideration, negative/conditional statements, or dated prior to arrival.","After discussion with family, MD documents referral to hospice care service: terminal extubation."
"Directive for Comfort Care or Palliative Care, Severe Sepsis","Is there physician/APN/PA documentation of comfort measures only, palliative care, or another acceptable inclusion term within an acceptable context? Note: Acceptable contexts include comfort measures only recommendation, order for hospice consultation, patient request for comfort measures only, plan for comfort measures only, or referral to hospice. Also accept SAPOs with CMO option checked if dated and signed prior to arrival, unless contradicted by documentation on day of arrival. Do NOT accept documentation that is only discussion/consideration, negative/conditional statements, or dated prior to arrival.",MOLST (Medical Orders for Life-Sustaining Treatment) dated prior to arrival with end of life care option checked.
"Directive for Comfort Care or Palliative Care, Severe Sepsis","Is there physician/APN/PA documentation of comfort measures only, palliative care, or another acceptable inclusion term within an acceptable context? Note: Acceptable contexts include comfort measures only recommendation, order for hospice consultation, patient request for comfort measures only, plan for comfort measures only, or referral to hospice. Also accept SAPOs with CMO option checked if dated and signed prior to arrival, unless contradicted by documentation on day of arrival. Do NOT accept documentation that is only discussion/consideration, negative/conditional statements, or dated prior to arrival.",Medical record includes DNR-Comfort Care form indicating Brain death.
"Directive for Comfort Care or Palliative Care, Severe Sepsis","Is there physician/APN/PA documentation of comfort measures only, palliative care, or another acceptable inclusion term within an acceptable context? Note: Acceptable contexts include comfort measures only recommendation, order for hospice consultation, patient request for comfort measures only, plan for comfort measures only, or referral to hospice. Also accept SAPOs with CMO option checked if dated and signed prior to arrival, unless contradicted by documentation on day of arrival. Do NOT accept documentation that is only discussion/consideration, negative/conditional statements, or dated prior to arrival.",APN documents patient or patient representative request for comfort measures only: withdraw care.
"Directive for Comfort Care or Palliative Care, Severe Sepsis","Is there physician/APN/PA documentation of comfort measures only, palliative care, or another acceptable inclusion term within an acceptable context? Note: Acceptable contexts include comfort measures only recommendation, order for hospice consultation, patient request for comfort measures only, plan for comfort measures only, or referral to hospice. Also accept SAPOs with CMO option checked if dated and signed prior to arrival, unless contradicted by documentation on day of arrival. Do NOT accept documentation that is only discussion/consideration, negative/conditional statements, or dated prior to arrival.",MD orders order for consultation or evaluation by a hospice care service: Terminal care.
"Directive for Comfort Care or Palliative Care, Severe Sepsis","Is there physician/APN/PA documentation of comfort measures only, palliative care, or another acceptable inclusion term within an acceptable context? Note: Acceptable contexts include comfort measures only recommendation, order for hospice consultation, patient request for comfort measures only, plan for comfort measures only, or referral to hospice. Also accept SAPOs with CMO option checked if dated and signed prior to arrival, unless contradicted by documentation on day of arrival. Do NOT accept documentation that is only discussion/consideration, negative/conditional statements, or dated prior to arrival.",Patient has POLST (Physician Orders for Life-Sustaining Treatment) signed by MD with terminal care selected.
"Directive for Comfort Care or Palliative Care, Severe Sepsis","Is there physician/APN/PA documentation of comfort measures only, palliative care, or another acceptable inclusion term within an acceptable context? Note: Acceptable contexts include comfort measures only recommendation, order for hospice consultation, patient request for comfort measures only, plan for comfort measures only, or referral to hospice. Also accept SAPOs with CMO option checked if dated and signed prior to arrival, unless contradicted by documentation on day of arrival. Do NOT accept documentation that is only discussion/consideration, negative/conditional statements, or dated prior to arrival.",physician documents plan for comfort measures only: organ harvest.
"Directive for Comfort Care or Palliative Care, Severe Sepsis","Is there physician/APN/PA documentation of comfort measures only, palliative care, or another acceptable inclusion term within an acceptable context? Note: Acceptable contexts include comfort measures only recommendation, order for hospice consultation, patient request for comfort measures only, plan for comfort measures only, or referral to hospice. Also accept SAPOs with CMO option checked if dated and signed prior to arrival, unless contradicted by documentation on day of arrival. Do NOT accept documentation that is only discussion/consideration, negative/conditional statements, or dated prior to arrival.",Patient has MOLST (Medical Orders for Life-Sustaining Treatment) signed by MD with comfort only selected.
"Directive for Comfort Care or Palliative Care, Severe Sepsis","Is there physician/APN/PA documentation of comfort measures only, palliative care, or another acceptable inclusion term within an acceptable context? Note: Acceptable contexts include comfort measures only recommendation, order for hospice consultation, patient request for comfort measures only, plan for comfort measures only, or referral to hospice. Also accept SAPOs with CMO option checked if dated and signed prior to arrival, unless contradicted by documentation on day of arrival. Do NOT accept documentation that is only discussion/consideration, negative/conditional statements, or dated prior to arrival.",Most recent DNR-Comfort Care form (dated and signed by MD) indicates comfort measures.
"Directive for Comfort Care or Palliative Care, Severe Sepsis","Is there physician/APN/PA documentation of comfort measures only, palliative care, or another acceptable inclusion term within an acceptable context? Note: Acceptable contexts include comfort measures only recommendation, order for hospice consultation, patient request for comfort measures only, plan for comfort measures only, or referral to hospice. Also accept SAPOs with CMO option checked if dated and signed prior to arrival, unless contradicted by documentation on day of arrival. Do NOT accept documentation that is only discussion/consideration, negative/conditional statements, or dated prior to arrival.",Most recent Out-of-Hospital DNR (OOH DNR) (dated and signed by APN) indicates withdraw care.
"Directive for Comfort Care or Palliative Care, Severe Sepsis","Is there physician/APN/PA documentation of comfort measures only, palliative care, or another acceptable inclusion term within an acceptable context? Note: Acceptable contexts include comfort measures only recommendation, order for hospice consultation, patient request for comfort measures only, plan for comfort measures only, or referral to hospice. Also accept SAPOs with CMO option checked if dated and signed prior to arrival, unless contradicted by documentation on day of arrival. Do NOT accept documentation that is only discussion/consideration, negative/conditional statements, or dated prior to arrival.","Per physician ED record, plan for comfort measures only: hospice."
"Directive for Comfort Care or Palliative Care, Severe Sepsis","Is there physician/APN/PA documentation of comfort measures only, palliative care, or another acceptable inclusion term within an acceptable context? Note: Acceptable contexts include comfort measures only recommendation, order for hospice consultation, patient request for comfort measures only, plan for comfort measures only, or referral to hospice. Also accept SAPOs with CMO option checked if dated and signed prior to arrival, unless contradicted by documentation on day of arrival. Do NOT accept documentation that is only discussion/consideration, negative/conditional statements, or dated prior to arrival.",MOLST (Medical Orders for Life-Sustaining Treatment) signed prior to arrival with comfort measures only option selected.
"Directive for Comfort Care or Palliative Care, Severe Sepsis","Is there physician/APN/PA documentation of comfort measures only, palliative care, or another acceptable inclusion term within an acceptable context? Note: Acceptable contexts include comfort measures only recommendation, order for hospice consultation, patient request for comfort measures only, plan for comfort measures only, or referral to hospice. Also accept SAPOs with CMO option checked if dated and signed prior to arrival, unless contradicted by documentation on day of arrival. Do NOT accept documentation that is only discussion/consideration, negative/conditional statements, or dated prior to arrival.",physician orders patient or patient representative request for comfort measures only: Brain death.
"Directive for Comfort Care or Palliative Care, Severe Sepsis","Is there physician/APN/PA documentation of comfort measures only, palliative care, or another acceptable inclusion term within an acceptable context? Note: Acceptable contexts include comfort measures only recommendation, order for hospice consultation, patient request for comfort measures only, plan for comfort measures only, or referral to hospice. Also accept SAPOs with CMO option checked if dated and signed prior to arrival, unless contradicted by documentation on day of arrival. Do NOT accept documentation that is only discussion/consideration, negative/conditional statements, or dated prior to arrival.",Most recent MOLST (Medical Orders for Life-Sustaining Treatment) (dated and signed by APN) indicates withhold care.
"Directive for Comfort Care or Palliative Care, Severe Sepsis","Is there physician/APN/PA documentation of comfort measures only, palliative care, or another acceptable inclusion term within an acceptable context? Note: Acceptable contexts include comfort measures only recommendation, order for hospice consultation, patient request for comfort measures only, plan for comfort measures only, or referral to hospice. Also accept SAPOs with CMO option checked if dated and signed prior to arrival, unless contradicted by documentation on day of arrival. Do NOT accept documentation that is only discussion/consideration, negative/conditional statements, or dated prior to arrival.",MOLST (Medical Orders for Life-Sustaining Treatment) dated prior to arrival with comfort measures option checked.
"Directive for Comfort Care or Palliative Care, Severe Sepsis","Is there physician/APN/PA documentation of comfort measures only, palliative care, or another acceptable inclusion term within an acceptable context? Note: Acceptable contexts include comfort measures only recommendation, order for hospice consultation, patient request for comfort measures only, plan for comfort measures only, or referral to hospice. Also accept SAPOs with CMO option checked if dated and signed prior to arrival, unless contradicted by documentation on day of arrival. Do NOT accept documentation that is only discussion/consideration, negative/conditional statements, or dated prior to arrival.",physician documents plan for comfort measures only: withhold care.
"Directive for Comfort Care or Palliative Care, Severe Sepsis","Is there physician/APN/PA documentation of comfort measures only, palliative care, or another acceptable inclusion term within an acceptable context? Note: Acceptable contexts include comfort measures only recommendation, order for hospice consultation, patient request for comfort measures only, plan for comfort measures only, or referral to hospice. Also accept SAPOs with CMO option checked if dated and signed prior to arrival, unless contradicted by documentation on day of arrival. Do NOT accept documentation that is only discussion/consideration, negative/conditional statements, or dated prior to arrival.",PA history and physical: plan for comfort measures only - Hospice care.
"Directive for Comfort Care or Palliative Care, Severe Sepsis","Is there physician/APN/PA documentation of comfort measures only, palliative care, or another acceptable inclusion term within an acceptable context? Note: Acceptable contexts include comfort measures only recommendation, order for hospice consultation, patient request for comfort measures only, plan for comfort measures only, or referral to hospice. Also accept SAPOs with CMO option checked if dated and signed prior to arrival, unless contradicted by documentation on day of arrival. Do NOT accept documentation that is only discussion/consideration, negative/conditional statements, or dated prior to arrival.",MD documents referral to hospice care service: comfort measures.
"Directive for Comfort Care or Palliative Care, Severe Sepsis","Is there physician/APN/PA documentation of comfort measures only, palliative care, or another acceptable inclusion term within an acceptable context? Note: Acceptable contexts include comfort measures only recommendation, order for hospice consultation, patient request for comfort measures only, plan for comfort measures only, or referral to hospice. Also accept SAPOs with CMO option checked if dated and signed prior to arrival, unless contradicted by documentation on day of arrival. Do NOT accept documentation that is only discussion/consideration, negative/conditional statements, or dated prior to arrival.","Per physician discharge summary, order for consultation or evaluation by a hospice care service: palliative care."
"Directive for Comfort Care or Palliative Care, Severe Sepsis","Is there physician/APN/PA documentation of comfort measures only, palliative care, or another acceptable inclusion term within an acceptable context? Note: Acceptable contexts include comfort measures only recommendation, order for hospice consultation, patient request for comfort measures only, plan for comfort measures only, or referral to hospice. Also accept SAPOs with CMO option checked if dated and signed prior to arrival, unless contradicted by documentation on day of arrival. Do NOT accept documentation that is only discussion/consideration, negative/conditional statements, or dated prior to arrival.",DNR-Comfort Care form signed prior to arrival with brain dead option selected.
"Directive for Comfort Care or Palliative Care, Severe Sepsis","Is there physician/APN/PA documentation of comfort measures only, palliative care, or another acceptable inclusion term within an acceptable context? Note: Acceptable contexts include comfort measures only recommendation, order for hospice consultation, patient request for comfort measures only, plan for comfort measures only, or referral to hospice. Also accept SAPOs with CMO option checked if dated and signed prior to arrival, unless contradicted by documentation on day of arrival. Do NOT accept documentation that is only discussion/consideration, negative/conditional statements, or dated prior to arrival.","Per physician ED record, comfort measures only recommendation: comfort measures only."
"Directive for Comfort Care or Palliative Care, Severe Sepsis","Is there physician/APN/PA documentation of comfort measures only, palliative care, or another acceptable inclusion term within an acceptable context? Note: Acceptable contexts include comfort measures only recommendation, order for hospice consultation, patient request for comfort measures only, plan for comfort measures only, or referral to hospice. Also accept SAPOs with CMO option checked if dated and signed prior to arrival, unless contradicted by documentation on day of arrival. Do NOT accept documentation that is only discussion/consideration, negative/conditional statements, or dated prior to arrival.","Per nurse practitioner consultation note, plan for comfort measures only: hospice."
"Directive for Comfort Care or Palliative Care, Severe Sepsis","Is there physician/APN/PA documentation of comfort measures only, palliative care, or another acceptable inclusion term within an acceptable context? Note: Acceptable contexts include comfort measures only recommendation, order for hospice consultation, patient request for comfort measures only, plan for comfort measures only, or referral to hospice. Also accept SAPOs with CMO option checked if dated and signed prior to arrival, unless contradicted by documentation on day of arrival. Do NOT accept documentation that is only discussion/consideration, negative/conditional statements, or dated prior to arrival.",PA documents order for consultation or evaluation by a hospice care service: hospice.
"Directive for Comfort Care or Palliative Care, Severe Sepsis","Is there physician/APN/PA documentation of comfort measures only, palliative care, or another acceptable inclusion term within an acceptable context? Note: Acceptable contexts include comfort measures only recommendation, order for hospice consultation, patient request for comfort measures only, plan for comfort measures only, or referral to hospice. Also accept SAPOs with CMO option checked if dated and signed prior to arrival, unless contradicted by documentation on day of arrival. Do NOT accept documentation that is only discussion/consideration, negative/conditional statements, or dated prior to arrival.","After discussion with family, physician documents comfort measures only recommendation: comfort care."
"Directive for Comfort Care or Palliative Care, Severe Sepsis","Is there physician/APN/PA documentation of comfort measures only, palliative care, or another acceptable inclusion term within an acceptable context? Note: Acceptable contexts include comfort measures only recommendation, order for hospice consultation, patient request for comfort measures only, plan for comfort measures only, or referral to hospice. Also accept SAPOs with CMO option checked if dated and signed prior to arrival, unless contradicted by documentation on day of arrival. Do NOT accept documentation that is only discussion/consideration, negative/conditional statements, or dated prior to arrival.",APN orders plan for comfort measures only: Brain death.
"Directive for Comfort Care or Palliative Care, Severe Sepsis","Is there physician/APN/PA documentation of comfort measures only, palliative care, or another acceptable inclusion term within an acceptable context? Note: Acceptable contexts include comfort measures only recommendation, order for hospice consultation, patient request for comfort measures only, plan for comfort measures only, or referral to hospice. Also accept SAPOs with CMO option checked if dated and signed prior to arrival, unless contradicted by documentation on day of arrival. Do NOT accept documentation that is only discussion/consideration, negative/conditional statements, or dated prior to arrival.",Most recent Out-of-Hospital DNR (OOH DNR) (dated and signed by PA) indicates end of life care.
"Directive for Comfort Care or Palliative Care, Severe Sepsis","Is there physician/APN/PA documentation of comfort measures only, palliative care, or another acceptable inclusion term within an acceptable context? Note: Acceptable contexts include comfort measures only recommendation, order for hospice consultation, patient request for comfort measures only, plan for comfort measures only, or referral to hospice. Also accept SAPOs with CMO option checked if dated and signed prior to arrival, unless contradicted by documentation on day of arrival. Do NOT accept documentation that is only discussion/consideration, negative/conditional statements, or dated prior to arrival.",MOLST (Medical Orders for Life-Sustaining Treatment) signed prior to arrival with comfort only option selected.
"Directive for Comfort Care or Palliative Care, Severe Sepsis","Is there physician/APN/PA documentation of comfort measures only, palliative care, or another acceptable inclusion term within an acceptable context? Note: Acceptable contexts include comfort measures only recommendation, order for hospice consultation, patient request for comfort measures only, plan for comfort measures only, or referral to hospice. Also accept SAPOs with CMO option checked if dated and signed prior to arrival, unless contradicted by documentation on day of arrival. Do NOT accept documentation that is only discussion/consideration, negative/conditional statements, or dated prior to arrival.",physician assistant emergency department note: order for consultation or evaluation by a hospice care service - Comfort only.
"Directive for Comfort Care or Palliative Care, Severe Sepsis","Is there physician/APN/PA documentation of comfort measures only, palliative care, or another acceptable inclusion term within an acceptable context? Note: Acceptable contexts include comfort measures only recommendation, order for hospice consultation, patient request for comfort measures only, plan for comfort measures only, or referral to hospice. Also accept SAPOs with CMO option checked if dated and signed prior to arrival, unless contradicted by documentation on day of arrival. Do NOT accept documentation that is only discussion/consideration, negative/conditional statements, or dated prior to arrival.",APN documents order for consultation or evaluation by a hospice care service: terminal extubation.
"Directive for Comfort Care or Palliative Care, Severe Sepsis","Is there physician/APN/PA documentation of comfort measures only, palliative care, or another acceptable inclusion term within an acceptable context? Note: Acceptable contexts include comfort measures only recommendation, order for hospice consultation, patient request for comfort measures only, plan for comfort measures only, or referral to hospice. Also accept SAPOs with CMO option checked if dated and signed prior to arrival, unless contradicted by documentation on day of arrival. Do NOT accept documentation that is only discussion/consideration, negative/conditional statements, or dated prior to arrival.",Medical record includes MOLST (Medical Orders for Life-Sustaining Treatment) indicating Hospice.
"Directive for Comfort Care or Palliative Care, Severe Sepsis","Is there physician/APN/PA documentation of comfort measures only, palliative care, or another acceptable inclusion term within an acceptable context? Note: Acceptable contexts include comfort measures only recommendation, order for hospice consultation, patient request for comfort measures only, plan for comfort measures only, or referral to hospice. Also accept SAPOs with CMO option checked if dated and signed prior to arrival, unless contradicted by documentation on day of arrival. Do NOT accept documentation that is only discussion/consideration, negative/conditional statements, or dated prior to arrival.",Most recent DNR-Comfort Care form (dated and signed by PA) indicates palliative consult.
"Directive for Comfort Care or Palliative Care, Severe Sepsis","Is there physician/APN/PA documentation of comfort measures only, palliative care, or another acceptable inclusion term within an acceptable context? Note: Acceptable contexts include comfort measures only recommendation, order for hospice consultation, patient request for comfort measures only, plan for comfort measures only, or referral to hospice. Also accept SAPOs with CMO option checked if dated and signed prior to arrival, unless contradicted by documentation on day of arrival. Do NOT accept documentation that is only discussion/consideration, negative/conditional statements, or dated prior to arrival.",nurse practitioner physician order: patient or patient representative request for comfort measures only - Comfort measures.
