DATA_ELEMENT,QUERY,NEEDLE_TEXT
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",MD note: patient would not allow IV within first hour.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",Patient refuses IV access on arrival.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",Patient declined to consent for arterial blood gas within first hour.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",nurse documents patient before fluids initiated.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",Declined antibiotics at septic shock presentation - will treat symptomatically.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",son refuses IV fluids despite recommendation.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",Patient refuses HIV blood test at septic shock presentation.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",wife does not want HIV blood test - will not consent.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",daughter refuses ABG - will not consent.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",healthcare proxy in the ED.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",nursing documents family member unwilling to antibiotics after discussion of risks.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",Nursing note: healthcare proxy does not want blood draw on arrival.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",wife refusing IV after explaining benefits.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",provider documents legal guardian .
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",provider notes: legal guardian declined blood draw at time of triage.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",Patient refuses CBC within first hour.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",family declined CBC - will not consent.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",AMA form signed: patient leaving at septic shock presentation.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",provider notes: patient during initial assessment.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",AMA form signed: patient leaving in the ED.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",AMA form signed: patient leaving on arrival.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",POA to stay for continued care upon presentation.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",Provider documents refusal of medications by family member on arrival.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",Nursing note: husband not willing to IV in the ED.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",Would not allow IV to be started at 08:00.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.","Per APN documentation upon presentation, daughter does not want fluids."
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",RN documents legal guardian refusing blood draw at 08:00.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",Patient refuses ABG during initial assessment.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",Declined antibiotics before fluids initiated - will treat symptomatically.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",APN notes: family member on arrival.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.","Per nursing documentation before fluids initiated, wife would not allow further care."
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",before fluids initiated: authorized advocate .
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",Nursing note: family member would not allow blood draw at time of triage.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",nurse notes: family does not want treatment at time of triage.
