DATA_ELEMENT,QUERY,NEEDLE_TEXT
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",Unable to determine if vasopressor administered within specified time frame.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",Emergency Department record shows vasopressin ordered but no documentation of administration.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",vasopressin intraosseous started within 1 hour of presentation.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",Transport record indicates vasopressin given - time not documented.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",Patient on Neo-Synephrine drip administered at presentation on arrival.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",epinephrine started at within 1 hour of presentation per physician note - titrating via intraosseous.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",Physician order for Adrenalin written but not designated as given - not abstracted.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",norepinephrine intravenous administered at 08:00.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",Adrenalin infusing at time of septic shock presentation at septic shock presentation.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",norepinephrine given via oral route - not IV or IO.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",Patient receiving Adrenalin via IV at time of triage - started on arrival.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.","Per physician note, epinephrine administered via intravenous on arrival."
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",Levophed started at at 08:00 per Emergency Department record - on continuous infusion via IO.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",Test dose of phenylephrine administered - not abstracted per guidelines.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",norepinephrine infusing at time of septic shock presentation on arrival.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",Patient on dopamine drip titrating at presentation within 1 hour of presentation.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",Vasopressor mentioned in narrative note only - no MAR documentation.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",Unable to determine if vasopressor administered within specified time frame.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",Adrenalin started at at 08:00 per MAR - infusing via IV.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",phenylephrine infusing at time of septic shock presentation at time of triage.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",vasopressin IV infusing at 22:30.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",Patient receiving Adrenalin via intravenous at time of triage - on continuous infusion within 1 hour of presentation.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",Nursing note: vasopressin titrating via intraosseous at time of triage.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",Unable to determine if vasopressor administered within specified time frame.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",Nursing note: vasopressin infusing via IV within 1 hour of presentation.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",Patient receiving Neo-Synephrine via intravenous at time of triage - started within 1 hour of presentation.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.","Per transport record, patient not on any vasopressors at 08:00."
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",Levophed started at within the specified time frame per Medication Administration Record - infusing via IV.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",APN note documents Neo-Synephrine administered IV at time of triage.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",Test dose of Adrenalin administered - not abstracted per guidelines.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",Adrenalin started at within 1 hour of presentation per nursing note - infusing via intravenous.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",Transport record indicates Levophed given - time not documented.
