DATA_ELEMENT,QUERY,NEEDLE_TEXT
"Clinical Trial, Severe Sepsis","During this hospital stay, was the patient enrolled in a clinical trial in which patients with the same condition as the measure set were being studied? Note: Select 'Yes' ONLY if BOTH of the following are true: 1. There is a signed consent form for a clinical trial (experimental study with treatment/intervention assignment, often randomized). 2. The consent form documents that during this hospital stay the patient was enrolled in a clinical trial studying patients with sepsis, severe sepsis, or septic shock. Select 'No' for observational studies (registries, data collection only), unclear study types, clinical trials studying conditions other than sepsis, or if no documentation.",study enrollment form documents patient enrollment in investigational treatment - study population: septic shock.
"Clinical Trial, Severe Sepsis","During this hospital stay, was the patient enrolled in a clinical trial in which patients with the same condition as the measure set were being studied? Note: Select 'Yes' ONLY if BOTH of the following are true: 1. There is a signed consent form for a clinical trial (experimental study with treatment/intervention assignment, often randomized). 2. The consent form documents that during this hospital stay the patient was enrolled in a clinical trial studying patients with sepsis, severe sepsis, or septic shock. Select 'No' for observational studies (registries, data collection only), unclear study types, clinical trials studying conditions other than sepsis, or if no documentation.",Research consent signed: research study investigating experimental antibiotic in sepsis patients.
"Clinical Trial, Severe Sepsis","During this hospital stay, was the patient enrolled in a clinical trial in which patients with the same condition as the measure set were being studied? Note: Select 'Yes' ONLY if BOTH of the following are true: 1. There is a signed consent form for a clinical trial (experimental study with treatment/intervention assignment, often randomized). 2. The consent form documents that during this hospital stay the patient was enrolled in a clinical trial studying patients with sepsis, severe sepsis, or septic shock. Select 'No' for observational studies (registries, data collection only), unclear study types, clinical trials studying conditions other than sepsis, or if no documentation.",study enrollment form documents patient enrollment in research study - study population: sepsis.
"Clinical Trial, Severe Sepsis","During this hospital stay, was the patient enrolled in a clinical trial in which patients with the same condition as the measure set were being studied? Note: Select 'Yes' ONLY if BOTH of the following are true: 1. There is a signed consent form for a clinical trial (experimental study with treatment/intervention assignment, often randomized). 2. The consent form documents that during this hospital stay the patient was enrolled in a clinical trial studying patients with sepsis, severe sepsis, or septic shock. Select 'No' for observational studies (registries, data collection only), unclear study types, clinical trials studying conditions other than sepsis, or if no documentation.",Patient enrolled in phase III trial for sepsis syndrome - consent signed today.
"Clinical Trial, Severe Sepsis","During this hospital stay, was the patient enrolled in a clinical trial in which patients with the same condition as the measure set were being studied? Note: Select 'Yes' ONLY if BOTH of the following are true: 1. There is a signed consent form for a clinical trial (experimental study with treatment/intervention assignment, often randomized). 2. The consent form documents that during this hospital stay the patient was enrolled in a clinical trial studying patients with sepsis, severe sepsis, or septic shock. Select 'No' for observational studies (registries, data collection only), unclear study types, clinical trials studying conditions other than sepsis, or if no documentation.","Per study enrollment form, patient participating in experimental study evaluating investigational device for severe sepsis."
"Clinical Trial, Severe Sepsis","During this hospital stay, was the patient enrolled in a clinical trial in which patients with the same condition as the measure set were being studied? Note: Select 'Yes' ONLY if BOTH of the following are true: 1. There is a signed consent form for a clinical trial (experimental study with treatment/intervention assignment, often randomized). 2. The consent form documents that during this hospital stay the patient was enrolled in a clinical trial studying patients with sepsis, severe sepsis, or septic shock. Select 'No' for observational studies (registries, data collection only), unclear study types, clinical trials studying conditions other than sepsis, or if no documentation.","Per study enrollment form, patient participating in phase III trial evaluating study medication for sepsis-3 criteria."
"Clinical Trial, Severe Sepsis","During this hospital stay, was the patient enrolled in a clinical trial in which patients with the same condition as the measure set were being studied? Note: Select 'Yes' ONLY if BOTH of the following are true: 1. There is a signed consent form for a clinical trial (experimental study with treatment/intervention assignment, often randomized). 2. The consent form documents that during this hospital stay the patient was enrolled in a clinical trial studying patients with sepsis, severe sepsis, or septic shock. Select 'No' for observational studies (registries, data collection only), unclear study types, clinical trials studying conditions other than sepsis, or if no documentation.","Per clinical trial consent, patient participating in experimental study evaluating experimental protocol for severe sepsis."
"Clinical Trial, Severe Sepsis","During this hospital stay, was the patient enrolled in a clinical trial in which patients with the same condition as the measure set were being studied? Note: Select 'Yes' ONLY if BOTH of the following are true: 1. There is a signed consent form for a clinical trial (experimental study with treatment/intervention assignment, often randomized). 2. The consent form documents that during this hospital stay the patient was enrolled in a clinical trial studying patients with sepsis, severe sepsis, or septic shock. Select 'No' for observational studies (registries, data collection only), unclear study types, clinical trials studying conditions other than sepsis, or if no documentation.",Signed consent form for study protocol studying patients with sepsis.
"Clinical Trial, Severe Sepsis","During this hospital stay, was the patient enrolled in a clinical trial in which patients with the same condition as the measure set were being studied? Note: Select 'Yes' ONLY if BOTH of the following are true: 1. There is a signed consent form for a clinical trial (experimental study with treatment/intervention assignment, often randomized). 2. The consent form documents that during this hospital stay the patient was enrolled in a clinical trial studying patients with sepsis, severe sepsis, or septic shock. Select 'No' for observational studies (registries, data collection only), unclear study types, clinical trials studying conditions other than sepsis, or if no documentation.",Patient continues active participation in clinical trial for sepsis syndrome (enrolled prior to arrival).
"Clinical Trial, Severe Sepsis","During this hospital stay, was the patient enrolled in a clinical trial in which patients with the same condition as the measure set were being studied? Note: Select 'Yes' ONLY if BOTH of the following are true: 1. There is a signed consent form for a clinical trial (experimental study with treatment/intervention assignment, often randomized). 2. The consent form documents that during this hospital stay the patient was enrolled in a clinical trial studying patients with sepsis, severe sepsis, or septic shock. Select 'No' for observational studies (registries, data collection only), unclear study types, clinical trials studying conditions other than sepsis, or if no documentation.",Patient continues active participation in research study for sepsis-3 criteria (enrolled prior to arrival).
"Clinical Trial, Severe Sepsis","During this hospital stay, was the patient enrolled in a clinical trial in which patients with the same condition as the measure set were being studied? Note: Select 'Yes' ONLY if BOTH of the following are true: 1. There is a signed consent form for a clinical trial (experimental study with treatment/intervention assignment, often randomized). 2. The consent form documents that during this hospital stay the patient was enrolled in a clinical trial studying patients with sepsis, severe sepsis, or septic shock. Select 'No' for observational studies (registries, data collection only), unclear study types, clinical trials studying conditions other than sepsis, or if no documentation.",Research consent signed: randomized controlled trial investigating randomized treatment assignment in septic shock patients.
"Clinical Trial, Severe Sepsis","During this hospital stay, was the patient enrolled in a clinical trial in which patients with the same condition as the measure set were being studied? Note: Select 'Yes' ONLY if BOTH of the following are true: 1. There is a signed consent form for a clinical trial (experimental study with treatment/intervention assignment, often randomized). 2. The consent form documents that during this hospital stay the patient was enrolled in a clinical trial studying patients with sepsis, severe sepsis, or septic shock. Select 'No' for observational studies (registries, data collection only), unclear study types, clinical trials studying conditions other than sepsis, or if no documentation.","Per signed consent form, patient participating in investigational treatment evaluating study medication for severe sepsis."
"Clinical Trial, Severe Sepsis","During this hospital stay, was the patient enrolled in a clinical trial in which patients with the same condition as the measure set were being studied? Note: Select 'Yes' ONLY if BOTH of the following are true: 1. There is a signed consent form for a clinical trial (experimental study with treatment/intervention assignment, often randomized). 2. The consent form documents that during this hospital stay the patient was enrolled in a clinical trial studying patients with sepsis, severe sepsis, or septic shock. Select 'No' for observational studies (registries, data collection only), unclear study types, clinical trials studying conditions other than sepsis, or if no documentation.",Patient continues active participation in study protocol for severe sepsis (enrolled prior to arrival).
"Clinical Trial, Severe Sepsis","During this hospital stay, was the patient enrolled in a clinical trial in which patients with the same condition as the measure set were being studied? Note: Select 'Yes' ONLY if BOTH of the following are true: 1. There is a signed consent form for a clinical trial (experimental study with treatment/intervention assignment, often randomized). 2. The consent form documents that during this hospital stay the patient was enrolled in a clinical trial studying patients with sepsis, severe sepsis, or septic shock. Select 'No' for observational studies (registries, data collection only), unclear study types, clinical trials studying conditions other than sepsis, or if no documentation.",Research consent signed: randomized controlled trial investigating experimental antibiotic in sepsis-3 criteria patients.
"Clinical Trial, Severe Sepsis","During this hospital stay, was the patient enrolled in a clinical trial in which patients with the same condition as the measure set were being studied? Note: Select 'Yes' ONLY if BOTH of the following are true: 1. There is a signed consent form for a clinical trial (experimental study with treatment/intervention assignment, often randomized). 2. The consent form documents that during this hospital stay the patient was enrolled in a clinical trial studying patients with sepsis, severe sepsis, or septic shock. Select 'No' for observational studies (registries, data collection only), unclear study types, clinical trials studying conditions other than sepsis, or if no documentation.",Patient enrolled in randomized controlled trial for sepsis-3 criteria - consent signed on admission.
"Clinical Trial, Severe Sepsis","During this hospital stay, was the patient enrolled in a clinical trial in which patients with the same condition as the measure set were being studied? Note: Select 'Yes' ONLY if BOTH of the following are true: 1. There is a signed consent form for a clinical trial (experimental study with treatment/intervention assignment, often randomized). 2. The consent form documents that during this hospital stay the patient was enrolled in a clinical trial studying patients with sepsis, severe sepsis, or septic shock. Select 'No' for observational studies (registries, data collection only), unclear study types, clinical trials studying conditions other than sepsis, or if no documentation.",informed consent documents patient enrollment in clinical trial - study population: sepsis.
"Clinical Trial, Severe Sepsis","During this hospital stay, was the patient enrolled in a clinical trial in which patients with the same condition as the measure set were being studied? Note: Select 'Yes' ONLY if BOTH of the following are true: 1. There is a signed consent form for a clinical trial (experimental study with treatment/intervention assignment, often randomized). 2. The consent form documents that during this hospital stay the patient was enrolled in a clinical trial studying patients with sepsis, severe sepsis, or septic shock. Select 'No' for observational studies (registries, data collection only), unclear study types, clinical trials studying conditions other than sepsis, or if no documentation.",Signed consent form for experimental study studying patients with sepsis-3 criteria.
"Clinical Trial, Severe Sepsis","During this hospital stay, was the patient enrolled in a clinical trial in which patients with the same condition as the measure set were being studied? Note: Select 'Yes' ONLY if BOTH of the following are true: 1. There is a signed consent form for a clinical trial (experimental study with treatment/intervention assignment, often randomized). 2. The consent form documents that during this hospital stay the patient was enrolled in a clinical trial studying patients with sepsis, severe sepsis, or septic shock. Select 'No' for observational studies (registries, data collection only), unclear study types, clinical trials studying conditions other than sepsis, or if no documentation.",Signed consent form for study protocol studying patients with sepsis-3 criteria.
"Clinical Trial, Severe Sepsis","During this hospital stay, was the patient enrolled in a clinical trial in which patients with the same condition as the measure set were being studied? Note: Select 'Yes' ONLY if BOTH of the following are true: 1. There is a signed consent form for a clinical trial (experimental study with treatment/intervention assignment, often randomized). 2. The consent form documents that during this hospital stay the patient was enrolled in a clinical trial studying patients with sepsis, severe sepsis, or septic shock. Select 'No' for observational studies (registries, data collection only), unclear study types, clinical trials studying conditions other than sepsis, or if no documentation.",Research consent signed: investigational treatment investigating experimental antibiotic in sepsis-3 criteria patients.
"Clinical Trial, Severe Sepsis","During this hospital stay, was the patient enrolled in a clinical trial in which patients with the same condition as the measure set were being studied? Note: Select 'Yes' ONLY if BOTH of the following are true: 1. There is a signed consent form for a clinical trial (experimental study with treatment/intervention assignment, often randomized). 2. The consent form documents that during this hospital stay the patient was enrolled in a clinical trial studying patients with sepsis, severe sepsis, or septic shock. Select 'No' for observational studies (registries, data collection only), unclear study types, clinical trials studying conditions other than sepsis, or if no documentation.",Patient continues active participation in investigational treatment for severe sepsis (enrolled prior to arrival).
"Clinical Trial, Severe Sepsis","During this hospital stay, was the patient enrolled in a clinical trial in which patients with the same condition as the measure set were being studied? Note: Select 'Yes' ONLY if BOTH of the following are true: 1. There is a signed consent form for a clinical trial (experimental study with treatment/intervention assignment, often randomized). 2. The consent form documents that during this hospital stay the patient was enrolled in a clinical trial studying patients with sepsis, severe sepsis, or septic shock. Select 'No' for observational studies (registries, data collection only), unclear study types, clinical trials studying conditions other than sepsis, or if no documentation.",study enrollment form documents patient enrollment in phase III trial - study population: septic shock.
"Clinical Trial, Severe Sepsis","During this hospital stay, was the patient enrolled in a clinical trial in which patients with the same condition as the measure set were being studied? Note: Select 'Yes' ONLY if BOTH of the following are true: 1. There is a signed consent form for a clinical trial (experimental study with treatment/intervention assignment, often randomized). 2. The consent form documents that during this hospital stay the patient was enrolled in a clinical trial studying patients with sepsis, severe sepsis, or septic shock. Select 'No' for observational studies (registries, data collection only), unclear study types, clinical trials studying conditions other than sepsis, or if no documentation.",Signed consent form for experimental study studying patients with severe sepsis.
"Clinical Trial, Severe Sepsis","During this hospital stay, was the patient enrolled in a clinical trial in which patients with the same condition as the measure set were being studied? Note: Select 'Yes' ONLY if BOTH of the following are true: 1. There is a signed consent form for a clinical trial (experimental study with treatment/intervention assignment, often randomized). 2. The consent form documents that during this hospital stay the patient was enrolled in a clinical trial studying patients with sepsis, severe sepsis, or septic shock. Select 'No' for observational studies (registries, data collection only), unclear study types, clinical trials studying conditions other than sepsis, or if no documentation.",Patient continues active participation in randomized controlled trial for severe sepsis (enrolled prior to arrival).
"Clinical Trial, Severe Sepsis","During this hospital stay, was the patient enrolled in a clinical trial in which patients with the same condition as the measure set were being studied? Note: Select 'Yes' ONLY if BOTH of the following are true: 1. There is a signed consent form for a clinical trial (experimental study with treatment/intervention assignment, often randomized). 2. The consent form documents that during this hospital stay the patient was enrolled in a clinical trial studying patients with sepsis, severe sepsis, or septic shock. Select 'No' for observational studies (registries, data collection only), unclear study types, clinical trials studying conditions other than sepsis, or if no documentation.",Signed consent form for phase III trial studying patients with sepsis.
"Clinical Trial, Severe Sepsis","During this hospital stay, was the patient enrolled in a clinical trial in which patients with the same condition as the measure set were being studied? Note: Select 'Yes' ONLY if BOTH of the following are true: 1. There is a signed consent form for a clinical trial (experimental study with treatment/intervention assignment, often randomized). 2. The consent form documents that during this hospital stay the patient was enrolled in a clinical trial studying patients with sepsis, severe sepsis, or septic shock. Select 'No' for observational studies (registries, data collection only), unclear study types, clinical trials studying conditions other than sepsis, or if no documentation.","Per informed consent, patient participating in clinical trial evaluating experimental antibiotic for sepsis-3 criteria."
"Clinical Trial, Severe Sepsis","During this hospital stay, was the patient enrolled in a clinical trial in which patients with the same condition as the measure set were being studied? Note: Select 'Yes' ONLY if BOTH of the following are true: 1. There is a signed consent form for a clinical trial (experimental study with treatment/intervention assignment, often randomized). 2. The consent form documents that during this hospital stay the patient was enrolled in a clinical trial studying patients with sepsis, severe sepsis, or septic shock. Select 'No' for observational studies (registries, data collection only), unclear study types, clinical trials studying conditions other than sepsis, or if no documentation.",Patient enrolled in randomized controlled trial for severe sepsis - consent signed at time of sepsis diagnosis.
"Clinical Trial, Severe Sepsis","During this hospital stay, was the patient enrolled in a clinical trial in which patients with the same condition as the measure set were being studied? Note: Select 'Yes' ONLY if BOTH of the following are true: 1. There is a signed consent form for a clinical trial (experimental study with treatment/intervention assignment, often randomized). 2. The consent form documents that during this hospital stay the patient was enrolled in a clinical trial studying patients with sepsis, severe sepsis, or septic shock. Select 'No' for observational studies (registries, data collection only), unclear study types, clinical trials studying conditions other than sepsis, or if no documentation.",clinical trial consent documents patient enrollment in experimental study - study population: sepsis syndrome.
"Clinical Trial, Severe Sepsis","During this hospital stay, was the patient enrolled in a clinical trial in which patients with the same condition as the measure set were being studied? Note: Select 'Yes' ONLY if BOTH of the following are true: 1. There is a signed consent form for a clinical trial (experimental study with treatment/intervention assignment, often randomized). 2. The consent form documents that during this hospital stay the patient was enrolled in a clinical trial studying patients with sepsis, severe sepsis, or septic shock. Select 'No' for observational studies (registries, data collection only), unclear study types, clinical trials studying conditions other than sepsis, or if no documentation.",Signed consent form for clinical trial studying patients with sepsis syndrome.
"Clinical Trial, Severe Sepsis","During this hospital stay, was the patient enrolled in a clinical trial in which patients with the same condition as the measure set were being studied? Note: Select 'Yes' ONLY if BOTH of the following are true: 1. There is a signed consent form for a clinical trial (experimental study with treatment/intervention assignment, often randomized). 2. The consent form documents that during this hospital stay the patient was enrolled in a clinical trial studying patients with sepsis, severe sepsis, or septic shock. Select 'No' for observational studies (registries, data collection only), unclear study types, clinical trials studying conditions other than sepsis, or if no documentation.",signed consent form documents patient enrollment in study protocol - study population: sepsis.
"Clinical Trial, Severe Sepsis","During this hospital stay, was the patient enrolled in a clinical trial in which patients with the same condition as the measure set were being studied? Note: Select 'Yes' ONLY if BOTH of the following are true: 1. There is a signed consent form for a clinical trial (experimental study with treatment/intervention assignment, often randomized). 2. The consent form documents that during this hospital stay the patient was enrolled in a clinical trial studying patients with sepsis, severe sepsis, or septic shock. Select 'No' for observational studies (registries, data collection only), unclear study types, clinical trials studying conditions other than sepsis, or if no documentation.",signed consent form documents patient enrollment in phase III trial - study population: septic shock.
"Clinical Trial, Severe Sepsis","During this hospital stay, was the patient enrolled in a clinical trial in which patients with the same condition as the measure set were being studied? Note: Select 'Yes' ONLY if BOTH of the following are true: 1. There is a signed consent form for a clinical trial (experimental study with treatment/intervention assignment, often randomized). 2. The consent form documents that during this hospital stay the patient was enrolled in a clinical trial studying patients with sepsis, severe sepsis, or septic shock. Select 'No' for observational studies (registries, data collection only), unclear study types, clinical trials studying conditions other than sepsis, or if no documentation.",Patient enrolled in experimental study for sepsis-3 criteria - consent signed prior to arrival (continued participation).
"Clinical Trial, Severe Sepsis","During this hospital stay, was the patient enrolled in a clinical trial in which patients with the same condition as the measure set were being studied? Note: Select 'Yes' ONLY if BOTH of the following are true: 1. There is a signed consent form for a clinical trial (experimental study with treatment/intervention assignment, often randomized). 2. The consent form documents that during this hospital stay the patient was enrolled in a clinical trial studying patients with sepsis, severe sepsis, or septic shock. Select 'No' for observational studies (registries, data collection only), unclear study types, clinical trials studying conditions other than sepsis, or if no documentation.",Patient enrolled in research study for sepsis syndrome - consent signed prior to arrival (continued participation).
"Clinical Trial, Severe Sepsis","During this hospital stay, was the patient enrolled in a clinical trial in which patients with the same condition as the measure set were being studied? Note: Select 'Yes' ONLY if BOTH of the following are true: 1. There is a signed consent form for a clinical trial (experimental study with treatment/intervention assignment, often randomized). 2. The consent form documents that during this hospital stay the patient was enrolled in a clinical trial studying patients with sepsis, severe sepsis, or septic shock. Select 'No' for observational studies (registries, data collection only), unclear study types, clinical trials studying conditions other than sepsis, or if no documentation.",Patient continues active participation in clinical trial for sepsis (enrolled prior to arrival).
"Clinical Trial, Severe Sepsis","During this hospital stay, was the patient enrolled in a clinical trial in which patients with the same condition as the measure set were being studied? Note: Select 'Yes' ONLY if BOTH of the following are true: 1. There is a signed consent form for a clinical trial (experimental study with treatment/intervention assignment, often randomized). 2. The consent form documents that during this hospital stay the patient was enrolled in a clinical trial studying patients with sepsis, severe sepsis, or septic shock. Select 'No' for observational studies (registries, data collection only), unclear study types, clinical trials studying conditions other than sepsis, or if no documentation.",Signed consent form for study protocol studying patients with severe sepsis.
"Clinical Trial, Severe Sepsis","During this hospital stay, was the patient enrolled in a clinical trial in which patients with the same condition as the measure set were being studied? Note: Select 'Yes' ONLY if BOTH of the following are true: 1. There is a signed consent form for a clinical trial (experimental study with treatment/intervention assignment, often randomized). 2. The consent form documents that during this hospital stay the patient was enrolled in a clinical trial studying patients with sepsis, severe sepsis, or septic shock. Select 'No' for observational studies (registries, data collection only), unclear study types, clinical trials studying conditions other than sepsis, or if no documentation.",research consent documents patient enrollment in experimental study - study population: sepsis syndrome.
"Clinical Trial, Severe Sepsis","During this hospital stay, was the patient enrolled in a clinical trial in which patients with the same condition as the measure set were being studied? Note: Select 'Yes' ONLY if BOTH of the following are true: 1. There is a signed consent form for a clinical trial (experimental study with treatment/intervention assignment, often randomized). 2. The consent form documents that during this hospital stay the patient was enrolled in a clinical trial studying patients with sepsis, severe sepsis, or septic shock. Select 'No' for observational studies (registries, data collection only), unclear study types, clinical trials studying conditions other than sepsis, or if no documentation.",Signed consent form for investigational treatment studying patients with septic shock.
"Clinical Trial, Severe Sepsis","During this hospital stay, was the patient enrolled in a clinical trial in which patients with the same condition as the measure set were being studied? Note: Select 'Yes' ONLY if BOTH of the following are true: 1. There is a signed consent form for a clinical trial (experimental study with treatment/intervention assignment, often randomized). 2. The consent form documents that during this hospital stay the patient was enrolled in a clinical trial studying patients with sepsis, severe sepsis, or septic shock. Select 'No' for observational studies (registries, data collection only), unclear study types, clinical trials studying conditions other than sepsis, or if no documentation.",clinical trial consent documents patient enrollment in phase III trial - study population: sepsis-3 criteria.
